4. FACILITY NAME,8. ST,23. INDUSTRY SECTOR,37. CHEMICAL,42. CLEAN AIR ACT CHEMICAL,46. CARCINOGEN,47. PBT,48. PFAS,65. ON-SITE RELEASE TOTAL,88. OFF-SITE RELEASE TOTAL,104. OFF-SITE TREATED TOTAL,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7)
ARKEMA COATING RESINS PLANT,CA,Chemicals,Vinyl acetate,YES,YES,NO,NO,1705.0,1581.0,250.0,1831.0,3286.0,0.0,0.0,12820.0,250.0,16356.0
AXALTA COATING SYSTEMS USA LLC- FORT MADISON PLANT,IA,Chemicals,Diisocyanates,NO,NO,NO,NO,47.0,1082.0,117.0,7635.0,1129.0,0.0,0.0,0.0,117.0,7682.0
LUBRIZOL CORP,TX,Chemicals,Benzyl chloride,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAINVIEW BIOENERGY LLC,TX,Chemicals,Methanol,YES,NO,NO,NO,2547.5,0.0,0.0,0.0,2547.5,0.0,0.0,34243.0,0.0,36790.5
UNION CARBIDE CORP SOUTH CHARLESTON FACILITY,WV,Chemicals,Propylene oxide,YES,YES,NO,NO,3147.0,0.0,0.0,0.0,3147.0,0.0,0.0,44.0,0.0,4509.0
ZEON CHEMICALS LP,KY,Chemicals,Styrene,YES,YES,NO,NO,132.0,558.0,1109.0,1667.0,690.0,0.0,0.0,5950.0,1109.0,7749.0
ALLNEX USA INC.,KY,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,582.0,21.15,79.21,23402.36,603.15,206229.0,0.0,0.0,79.21,230213.36
EXXONMOBIL OIL CORP CHEMICAL PLANT (PART),TX,Chemicals,Carbon disulfide,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAYHAWK FINE CHEMICALS CORP,KS,Chemicals,"2,4-Dimethylphenol",NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRODA INC,DE,Chemicals,Ethylene glycol,YES,NO,NO,NO,79.44,84580.18,972672.1,1057252.28,84659.62,0.0,0.0,0.0,972672.1,1057331.72
TURF CARE SUPPLY LLC.,FL,Chemicals,Atrazine,NO,NO,NO,NO,0.01,3258.13,0.0,3258.13,3258.14,0.0,0.0,0.0,0.0,3258.14
INEOS COMPOSITES US LLC,PA,Chemicals,Dicyclopentadiene,NO,NO,NO,NO,391.0,0.0,0.0,0.0,391.0,0.0,0.0,10526.0,0.0,10917.0
DIVERSEY INC.,WI,Chemicals,Arsenic,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEMIRA CHEMICALS INC,AL,Chemicals,Acrylonitrile,YES,YES,NO,NO,4638.0,4.0,0.0,4.0,4642.0,0.0,0.0,0.0,0.0,4642.0
LANXESS - CENTRAL,AR,Chemicals,n-Hexane,YES,NO,NO,NO,1897.0,0.0,0.0,58211.0,1897.0,0.0,58211.0,26294.0,0.0,285394.0
AURIGA POLYMERS INC-SPARTANBURG FACILITY,SC,Chemicals,"1,4-Dioxane",YES,YES,NO,NO,849.0,0.22,39.0,39.22,849.22,0.0,0.0,42583.0,39.0,43471.22
DIXIE CHEMICAL CO INC,TX,Chemicals,Dicyclopentadiene,NO,NO,NO,NO,0.2,2.0,0.0,141.0,2.2,0.0,0.0,0.0,0.0,141.2
NUFARM AMERICAS INC. - ALSIP,IL,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMOURS WASHINGTON WORKS,WV,Chemicals,Dichloromethane,YES,YES,NO,NO,41416.2,0.0,376.0,376.0,41416.2,0.0,0.0,0.0,376.0,41792.2
KURARAY AMERICA BAYPORT,TX,Chemicals,Acetaldehyde,YES,YES,NO,NO,1443.0,564.93,5712.07,33959.0,2007.93,0.0,0.0,0.0,5712.07,35402.0
BYK USA INC,CT,Chemicals,"Siloxanes and Silicones, (3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy Me, hydroxy Me, Me octyl, ethers with polyethylene glycol mono-Me ether",NO,NO,NO,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOW SABINE RIVER OPERATIONS,TX,Chemicals,Butyl acrylate,NO,NO,NO,NO,62475.0,100.0,143940.0,144040.0,62575.0,0.0,0.0,95380.0,143940.0,301895.0
POLYNT COMPOSITES USA INC,FL,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,NO,NO,378.0,0.0,0.0,442.0,378.0,0.0,0.0,0.0,0.0,820.0
WESTLAKE US 2 LLC,LA,Chemicals,Tetrachloroethylene,YES,YES,NO,NO,47000.0,46.0,33136.0,33182.0,47046.0,0.0,0.0,2000000.0,32636.0,2079681.15
SYNGENTA CROP PROTECTION LLC SAINT GABRIEL FACILITY,LA,Chemicals,n-Hexane,YES,NO,NO,NO,1442.0,0.0,23.0,23.0,1442.0,0.0,0.0,1934.0,23.0,3399.0
A-GAS US INC,OH,Chemicals,Dichlorodifluoromethane (CFC-12),NO,NO,NO,NO,828.0,0.0,0.0,0.0,828.0,0.0,0.0,89679.0,0.0,90507.0
BLEACHTECH LLC,OH,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",YES,NO,NO,NO,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
ALBEMARLE CORP SOUTH PLANT,AR,Chemicals,Dimethylamine,NO,NO,NO,NO,4423.0,0.0,0.0,0.0,4423.0,0.0,0.0,25.0,0.0,4448.0
WESTLAKE EPOXY INC,FL,Chemicals,Ethylbenzene,YES,YES,NO,NO,1595.6,38.0,669.1,1052.1,1633.6,38561.0,0.0,167.0,669.1,41375.7
ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,TX,Chemicals,Methanol,YES,NO,NO,NO,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
GULF COAST GROWTH VENTURES LLC,TX,Chemicals,"1,3-Butadiene",YES,YES,NO,NO,3744.82,0.0,2.7,2.7,3744.82,0.0,0.0,904311.43,2.7,1378734.33
RYVEC INC,CA,Chemicals,Lead  And Lead Compounds,YES,NO,YES,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIKA CORP (FORMER MASTER BUILDERS SOLUTIONS CONSTRUCTION SYS,PA,Chemicals,Ethylene glycol,YES,NO,NO,NO,6.0,245.88,10.12,256.0,251.88,0.0,0.0,0.0,10.12,262.0
POLYNT COMPOSITES USA INC. - ENNIS,TX,Chemicals,Styrene,YES,YES,NO,NO,364.04,0.0,0.0,16187.6,364.04,0.0,0.0,442.99,0.0,16994.63
SI GROUP INC,AL,Chemicals,Nitric acid,NO,NO,NO,NO,2838.5,0.0,0.0,0.0,2838.5,0.0,0.0,925.04,0.0,3763.54
STANCHEM INC,CT,Chemicals,Styrene,YES,YES,NO,NO,138.81,0.0,2154.8,2154.8,138.81,0.0,0.0,4875.7,2154.8,7169.31
BYK USA INC,NY,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOND VOGEL INC.,OK,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,7711.0,0.0,0.0,23475.0,7711.0,0.0,0.0,0.0,0.0,31186.0
POLYNT COMPOSITES USA INC.,MO,Chemicals,Ethylene glycol,YES,NO,NO,NO,294.0,0.003,0.037,0.04,294.003,0.0,0.0,5489.0,0.037,5783.04
BASF CORP - FREEPORT SITE,TX,Chemicals,Cyclohexanol,NO,NO,NO,NO,347201.73,21.24,14.004,35.244,347222.97,0.0,0.0,278720.0,14.004,625957.324
SANFORD LP LIQUID MANUFACTURING & TECHNOLOGY CENTER,TN,Chemicals,n-Butyl alcohol,NO,NO,NO,NO,296.0,0.0,0.0,2486.0,296.0,0.0,0.0,0.0,0.0,2782.0
MCGEAN-ROHCO INC,MI,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORGER CARBON BLACK PLANT,TX,Chemicals,Acetophenone,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENTERPRISE PRODUCTS OPERATING LLC,TX,Chemicals,Methyl tert-butyl ether,YES,NO,NO,NO,84.0,175.22,0.0,175.22,259.22,0.0,0.0,0.0,0.0,259.22
3M CHEMICAL OPERATIONS' DECATUR FACILITY,AL,Chemicals,Propylene,NO,NO,NO,NO,501.01,0.0,0.0,0.0,501.01,0.0,0.0,0.12,0.0,501.13
RELIABLE BIOPHARMACEUTICAL LLC,MO,Chemicals,Methanol,YES,NO,NO,NO,1594.0,740.19,8512.18,90706.55,2334.19,0.0,78238.33,0.0,8512.18,92300.55
LINDE ADVANCED MATERIAL TECHNOLOGIES INC,IN,Chemicals,Copper,NO,NO,NO,NO,27.2,79.28,0.0,79.28,106.48,0.0,0.0,0.0,0.0,106.48
ARRMAZ PRODUCTS INC.,FL,Chemicals,Nonylphenol Ethoxylates,NO,NO,NO,NO,10.0,250.0,0.0,250.0,260.0,0.0,0.0,0.0,0.0,260.0
VANDERBILT CHEMICALS LLC,CT,Chemicals,Methanol,YES,NO,NO,NO,6416.0,0.0,479284.0,1208859.0,6416.0,0.0,0.0,0.0,479284.0,1215275.0
THE ANDERSONS MARATHON HOLDINGS LLC - DENISON FACILITY,IA,Chemicals,Toluene,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOUISIANA INTEGRATED POLYETHYLENE JV LLC,LA,Chemicals,Toluene,YES,NO,NO,NO,3324.0,0.0,291.0,291.0,3324.0,0.0,0.0,24165.0,291.0,27780.0
MOSAIC FERTILIZER LLC UNCLE SAM PLANT,LA,Chemicals,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,NO,NO,NO,181200.0,0.0,0.0,0.0,181200.0,0.0,0.0,0.0,0.0,180000.0
OXY VINYLS LP LA PORTE VCM PLANT,TX,Chemicals,Bis(2-chloroethyl) ether,YES,NO,NO,NO,0.09,0.0,851.1,851.1,0.09,0.0,0.0,938.0,851.1,1789.19
BASF CORP,TX,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",YES,NO,NO,NO,2052.4,0.0,0.0,0.0,2052.4,0.0,0.0,0.0,0.0,2052.4
POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),IL,Chemicals,Ethylene glycol,YES,NO,NO,NO,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4788.0,0.0,4791.0
LYONDELL CHEMICAL CO,TX,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,8678.0,324.588,2583.351,18704.118,9002.588,0.0,0.0,39330.0,2583.351,73572.118
FUTUREFUEL CHEMICAL CO,AR,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",YES,NO,NO,NO,140030.0,0.0,0.0,0.0,140030.0,0.0,0.0,134000.0,0.0,274030.0
MACDERMID PRINTING SOLUTIONS,TN,Chemicals,Diisocyanates,NO,NO,NO,NO,289.8,0.0,0.0,0.0,289.8,0.0,0.0,0.0,0.0,289.8
CHEMOURS BELLE PLANT,WV,Chemicals,Polycyclic aromatic compounds,YES,YES,YES,NO,326.0,111.0,0.0,111.0,437.0,0.0,0.0,0.0,0.0,437.0
THARALDSON ETHANOL PLANT I LLC,ND,Chemicals,n-Hexane,YES,NO,NO,NO,8785.87,0.0,0.0,0.0,8785.87,0.0,0.0,139.39,0.0,8925.26
SABIC INNOVATIVE PLASTICS MT. VERNON LLC,IN,Chemicals,Ethylene glycol,YES,NO,NO,NO,1503.0,0.0,918.0,918.0,1503.0,0.0,0.0,5800.0,918.0,8221.0
NUFARM AMERICAS INC (DBA RIVERDALE CHEMICAL),IL,Chemicals,Dimethylamine,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAN YA PLASTICS CORP AMERICA,SC,Chemicals,"1,4-Dioxane",YES,YES,NO,NO,1200.0,0.0,521.0,521.0,1200.0,0.0,0.0,212945.29,521.0,214666.29
BASF HOUSTON POLYURETHANE,TX,Chemicals,Ethylene glycol,YES,NO,NO,NO,0.0,0.0,1376.0,1376.0,0.0,0.0,0.0,0.0,1376.0,1376.0
TRAMMO NITROGEN PRODUCTS INC. C/O LEMM CORP - OPERAT,OH,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,2880.0,0.0,0.0,0.0,2880.0,0.0,0.0,0.0,0.0,2880.0
UNION CARBIDE CORP SEADRIFT PLANT,TX,Chemicals,Vinyl acetate,YES,YES,NO,NO,15092.0,0.0,282835.0,282835.0,15092.0,0.0,0.0,7886.0,282835.0,305813.0
DDP SPECIALTY ELECTRONIC MATERIALS US LLC,MI,Chemicals,Dichloromethane,YES,YES,NO,NO,5395.0,37.0,885.3,922.3,5432.0,0.0,0.0,12973.0,885.3,19290.3
CHEVRON ORONITE CO LLC - OAK POINT PLANT,LA,Chemicals,Hydrogen sulfide,NO,NO,NO,NO,960.33,0.0,0.0,0.0,960.33,0.0,0.0,1442000.0,0.0,1442960.33
FLINT HILLS RESOURCES CORPUS CHRISTI LLC - WEST PLANT,TX,Chemicals,n-Hexane,YES,NO,NO,NO,11957.0,0.0,0.0,0.0,11957.0,0.0,0.0,242642.0,0.0,2597878.0
ARKEMA INC,AL,Chemicals,Trade Secret,NO,NO,NO,NO,260.0,0.0,38700.0,38700.0,260.0,1664000.0,0.0,70.0,387000.0,2051330.0
HA INTERNATIONAL LLC,IL,Chemicals,Phenol,YES,NO,NO,NO,104061.0,4558.0,0.0,4558.0,108619.0,0.0,0.0,98850.0,0.0,207469.0
PMC ORGANOMETALLIX INC.,KY,Chemicals,Methanol,YES,NO,NO,NO,2563.97,0.1,0.72,0.82,2564.07,0.0,0.0,9322.0,0.72,11886.79
SEALED AIR,CT,Chemicals,Diisocyanates,NO,NO,NO,NO,0.0,0.0,0.0,8250.0,0.0,0.0,8250.0,0.0,0.0,8250.0
TRONOX LLC,MS,Chemicals,Dioxin and dioxin-like compounds,YES,YES,YES,NO,300.114,0.0,0.0,0.0,300.114,0.0,0.0,0.0,0.0,300.114
INEOS PIGMENTS USA INC,OH,Chemicals,Hydrogen sulfide,NO,NO,NO,NO,3900.0,0.0,0.0,0.0,3900.0,0.0,0.0,0.0,0.0,3900.0
THE DOW CHEMICAL CO - LOUISIANA OPERATIONS,LA,Chemicals,Cyclohexane,NO,NO,NO,NO,409.0,0.0,1.0,6.0,409.0,0.0,0.0,0.0,1.0,415.0
GOODYEAR TIRE & RUBBER CO,TX,Chemicals,Allyl alcohol,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREEPORT_OLIN BC,TX,Chemicals,Acetophenone,YES,NO,NO,NO,1.0,7.0,6247.0,6254.0,8.0,0.0,0.0,12.0,6247.0,2813472.993
STEPAN CO MILLSDALE ROAD,IL,Chemicals,Ethylene glycol,YES,NO,NO,NO,236.0,21.0,0.0,21.0,257.0,0.0,0.0,4941.0,0.0,5198.0
CORTEVA AGRISCIENCE LLC - MIDLAND,MI,Chemicals,Manganese  And Manganese Compounds,YES,NO,NO,NO,0.0,236091.0,0.0,236091.0,236091.0,0.0,0.0,0.0,0.0,236091.0
DOW CHEMICAL CO FREEPORT FACILITY,TX,Chemicals,Hexachlorobenzene,YES,YES,YES,NO,116.0,0.0,15.0,15.0,116.0,51.0,0.0,85.0,15.0,267.0
AMBIT CHEMICAL TECHNOLOGIES,MS,Chemicals,Acetophenone,YES,NO,NO,NO,7.73,0.0,0.0,0.0,7.73,0.0,0.0,0.0,0.0,7.73
TRANSENE CO INC.,MA,Chemicals,Nitric acid,NO,NO,NO,NO,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),IL,Chemicals,Ethylbenzene,YES,YES,NO,NO,886.0,202.0,0.0,43224.0,1088.0,0.0,2152.0,24214.0,0.0,68324.0
ADVANSIX RESINS & CHEMICALS LLC,PA,Chemicals,Acetaldehyde,YES,YES,NO,NO,2159.0,1398.672,14142.128,15540.8,3557.672,0.0,0.0,1878.0,14142.128,19577.8
DAVIS PAINT CO,MO,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,750.0,0.0,0.0,6163.0,750.0,0.0,0.0,0.0,0.0,6913.0
DIAMOND VOGEL INC.,WI,Chemicals,Zinc compounds,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L'OREAL USA PRODUCTS INC,NJ,Chemicals,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",NO,NO,YES,NO,0.0,0.0,1.97,336.4,0.0,0.0,0.0,0.0,1.97,336.4
INEOS OLIGOMERS CHOCOLATE BAYOU,TX,Chemicals,Propylene,NO,NO,NO,NO,140.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,140.0
BLUE CUBE OPERATIONS LLC - PLAQUEMINE SITE,LA,Chemicals,Chlorodifluoromethane (HCFC-22),NO,NO,NO,NO,11750.0,0.0,0.0,0.0,11750.0,0.0,0.0,0.0,0.0,11750.0
PICO CHEMICAL CORP,IL,Chemicals,Certain glycol ethers,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTLAKE CHEMICALS & VINYLS LLC,LA,Chemicals,Trichloroethylene,YES,YES,NO,NO,198.35,0.0,90.76,90.76,198.35,0.0,0.0,75360.67,90.76,75649.78
GUARDIAN ENERGY LLC,MN,Chemicals,Benzene,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLYMER ADHESIVE LLC,TX,Chemicals,n-Hexane,YES,NO,NO,NO,2749.58,0.0,0.0,0.0,2749.58,0.0,0.0,0.0,0.0,2749.58
CHEMSTATION OF ALABAMA,AL,Chemicals,Certain glycol ethers,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INEOS COMPOSITES US LLC,CA,Chemicals,Cobalt compounds,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INEOS US CHEMICALS CO - COOPER RIVER PLANT,SC,Chemicals,Toluene,YES,NO,NO,NO,5317.0,0.0,0.0,0.0,5317.0,0.0,0.0,530000.0,0.0,535317.0
PHIBRO-TECH INC.,CA,Chemicals,Nickel  And Nickel Compounds,YES,YES,NO,NO,0.0,4197.0,0.0,18124.0,4197.0,60246.0,13927.0,0.0,0.0,78370.0
AMERICAS STYRENICS LLC - MARIETTA,OH,Chemicals,Cumene,YES,YES,NO,NO,124.0,0.0,218.0,575.0,124.0,0.0,0.0,0.0,218.0,18530.0
HALLIBURTON PRUDHOE BAY FIELD CAMP (NORTH SLOPE),AK,Chemicals,Lead  And Lead Compounds,YES,NO,YES,NO,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3
SIKA MBCC US LLC,CO,Chemicals,Diisocyanates,NO,NO,NO,NO,370.01,11232.0,0.0,11232.0,11602.01,0.0,0.0,0.0,0.0,11602.01
CONTROL SOLUTIONS INC.,TX,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHIRM USA INC.,TX,Chemicals,Profenofos,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMD PERFORMANCE MATERIALS CORP,GA,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,138472.0,0.0,0.0,0.0,138472.0,0.0,0.0,0.0,0.0,138472.0
GRANITE FALLS ENERGY LLC,MN,Chemicals,Toluene,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCP APPLIED TECHNOLOGIES INC,GA,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMOURS JOHNSONVILLE PLANT,TN,Chemicals,Hexachlorobenzene,YES,YES,YES,NO,499.51,0.0,0.0,0.0,499.51,0.0,0.0,0.0,0.0,499.51
INTERPLASTIC CORP,OK,Chemicals,Styrene,YES,YES,NO,NO,13450.0,1.0,5600.0,25401.0,13451.0,224000.0,0.0,475343.0,5600.0,738194.0
PREFERE MELAMINES LLC,MA,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,0.0,0.0,215615.0,215615.0,0.0,0.0,0.0,0.0,215615.0,215615.0
MAGNI INDUSTRIES INC,KY,Chemicals,Aluminum (fume or dust),NO,NO,NO,NO,1500.0,0.0,728.0,728.0,1500.0,0.0,0.0,0.0,728.0,2228.0
BASF CORP,TX,Chemicals,Phenol,YES,NO,NO,NO,116.2,13186.2,0.0,13186.2,13302.4,0.0,0.0,0.0,0.0,13302.4
WESTLAKE PETROCHEMICALS ETHYLENE,LA,Chemicals,Ethylene,NO,NO,NO,NO,29290.11,0.0,0.0,0.0,29290.11,0.0,0.0,136384.3,0.0,165674.41
POET BIOREFINING - ASHTON,IA,Chemicals,Toluene,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEVRON PHILLIPS CHEMICAL CO LP,TX,Chemicals,Zinc compounds,NO,NO,NO,NO,684.0,7.0,0.0,7.0,691.0,0.0,0.0,0.0,0.0,691.0
CHEMSTATION PHILADELPHIA,PA,Chemicals,Nitric acid,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPG BRAZIL POWDER,IN,Chemicals,Nickel compounds,YES,YES,NO,NO,0.42,297.0,0.0,297.0,297.42,0.0,0.0,0.0,0.0,297.42
P4 PRODUCTION LLC,ID,Chemicals,Vanadium compounds,NO,NO,NO,NO,679962.0,8.44,0.0,8.44,679970.44,0.0,0.0,0.0,0.0,679970.44
INDORAMA VENTURES,AL,Chemicals,"1,2,4-Trimethylbenzene",NO,NO,NO,NO,2374.0,0.0,0.0,0.0,2374.0,0.0,0.0,0.0,0.0,2374.0
GOWAN MILLING LLC,AZ,Chemicals,Triphenyltin hydroxide,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCH CORP MOHAWK LABS DIV,TX,Chemicals,Methanol,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INEOS OXIDE A DIV OF INEOS AMERICAS LLC,LA,Chemicals,Propylene oxide,YES,YES,NO,NO,1.27,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,1.27
EVONIK CORP,AR,Chemicals,Copper  And Copper Compounds,NO,NO,NO,NO,7.0,0.08,0.0,0.08,7.08,0.0,0.0,0.0,0.0,7.08
BASF CORP - FREEPORT SITE,TX,Chemicals,Butyl acrylate,NO,NO,NO,NO,5321.74,184.46,24.0,649.84,5506.2,0.0,0.0,265074.0,24.0,271045.84
REG SENECA LLC,IL,Chemicals,Certain glycol ethers,YES,NO,NO,NO,69.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,69.0
ASK CHEMICALS LLC,OH,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,1.03,0.0,590.0,590.0,1.03,0.0,0.0,0.0,590.0,591.03
THE CHEMOURS CO,TX,Chemicals,Carbon tetrachloride,YES,YES,NO,NO,3342.038,0.0,1817053.33,1817053.33,3342.038,0.0,0.0,142100.0,1817053.33,1962495.368
STERLING ETHANOL LLC,CO,Chemicals,Acrolein,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NANOCHEM TECHNOLOGIES LLC,IN,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,625.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,625.0
ESSEX GROUP INC CHEMICAL PROCESSING PLANT,IN,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,6162.0,0.0,1761.0,99156.0,6162.0,0.0,78987.0,0.0,1761.0,105318.0
INDORAMA VENTURES,AL,Chemicals,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,NO,NO,NO,343405.0,0.0,0.0,0.0,343405.0,0.0,0.0,0.0,0.0,343405.0
ITAFOS CONDA LLC,ID,Chemicals,Nitric acid,NO,NO,NO,NO,5.11,0.0,0.0,0.0,5.11,0.0,0.0,0.0,0.0,5.11
NOURYON SURFACE CHEMISTRY LLC,NC,Chemicals,Benzoyl peroxide,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOW CHEMICAL CO FREEPORT FACILITY,TX,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,8.0,0.0,170.0,1356.0,8.0,0.0,0.0,0.0,170.0,1364.0
LEBANON SEABOARD CORP,IL,Chemicals,"2,4-D 2-ethylhexyl ester",YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURETECH SCIENTIFIC LLC,WV,Chemicals,Formic acid,NO,NO,NO,NO,2882.0,0.0,13260.0,13260.0,2882.0,0.0,0.0,0.0,13260.0,16142.0
SMARK CO,CA,Chemicals,Certain glycol ethers,YES,NO,NO,NO,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
FRIT INDUSTRIES,AR,Chemicals,Manganese compounds,YES,NO,NO,NO,430.99,0.0,0.0,0.0,430.99,0.0,0.0,0.0,0.0,430.99
EXXONMOBIL BAYTOWN CHEMICAL PLANT (PART),TX,Chemicals,Styrene,YES,YES,NO,NO,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
BASF CORP,PA,Chemicals,tert-Butyl alcohol,NO,NO,NO,NO,1259.0,0.0,0.0,0.0,1259.0,0.0,0.0,58015.0,0.0,59274.0
EVONIK ACTIVE OXYGENS LLC BAYPORT PLANT,TX,Chemicals,Methanol,YES,NO,NO,NO,145.0,1381.0,136675.0,138056.0,1526.0,0.0,0.0,0.0,136675.0,138201.0
MOSAIC FERTILIZER LLC-RIVERVIEW,FL,Chemicals,Hydrogen sulfide,NO,NO,NO,NO,11010.0,0.0,0.0,0.0,11010.0,0.0,0.0,0.0,0.0,11000.0
VALERO RENEWABLE FUELS-MOUNT VERNON,IN,Chemicals,Toluene,YES,NO,NO,NO,14.0,0.0,0.19,0.19,14.0,0.0,0.0,0.0,0.19,14.19
SHERWIN-WILLIAMS CO,AL,Chemicals,Toluene,YES,NO,NO,NO,314.0,0.0,1426.0,9350.0,314.0,35810.0,6009.0,0.0,1426.0,45474.0
TITAN COATINGS INC,AL,Chemicals,Methanol,YES,NO,NO,NO,2951.0,0.0,87.0,83659.0,2951.0,0.0,0.0,0.0,87.0,86610.0
