4. FACILITY NAME,8. ST,23. INDUSTRY SECTOR,37. CHEMICAL,42. CLEAN AIR ACT CHEMICAL,46. CARCINOGEN,47. PBT,48. PFAS,65. ON-SITE RELEASE TOTAL,88. OFF-SITE RELEASE TOTAL,104. OFF-SITE TREATED TOTAL,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7)
MONUMENT CHEMICAL PORT ARTHUR LLC,TX,Chemicals,Acetophenone,YES,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRODA INC,DE,Chemicals,Diethanolamine,YES,NO,NO,NO,3.34,32.84,377.7,410.54,36.18,0.0,0.0,0.0,377.7,413.88
HONEYWELL INTERNATIONAL INC-BATON ROUGE PLANT,LA,Chemicals,Lead compounds,YES,NO,YES,NO,103.84,0.0,0.0,0.0,103.84,0.0,0.0,0.0,0.0,103.84
DIAMOND GREEN DIESEL LLC,LA,Chemicals,Ethylbenzene,YES,YES,NO,NO,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0
SOLVAY USA LLC,GA,Chemicals,Epichlorohydrin,YES,YES,NO,NO,541.5,0.0,0.0,0.0,541.5,0.0,0.0,625.0,0.0,1166.5
TEKNOR APEX - CAROLINA CO,SC,Chemicals,Mercury compounds,YES,NO,YES,NO,0.0,0.007,0.0,2.007,0.007,0.0,2.0,0.0,0.0,2.007
GOWAN MILLING LLC,AZ,Chemicals,Dichloran,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCP COATINGS LLC,MI,Chemicals,Cobalt  And Cobalt Compounds,YES,YES,NO,NO,0.0,566.0,0.0,566.0,566.0,0.0,0.0,0.0,0.0,566.0
NORTHEAST MISSOURI GRAIN LLC,MO,Chemicals,Benzene,YES,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANXESS - CENTRAL,AR,Chemicals,Bromomethane,YES,NO,NO,NO,3630.0,0.0,1319.0,1319.0,3630.0,0.0,0.0,0.0,1319.0,9999.0
VANDEMARK CHEMICAL INC,NY,Chemicals,Xylene (mixed isomers),YES,NO,NO,NO,82.3,0.0,62054.68,62054.68,82.3,0.0,0.0,0.0,62054.68,62136.98
SCHIRM USA INC.,TX,Chemicals,Acetophenone,YES,NO,NO,NO,0.0,7600.0,0.0,7600.0,7600.0,0.0,0.0,0.0,0.0,7600.0
INDULOR AMERICA LP,NC,Chemicals,Acrylic acid,YES,NO,NO,NO,82.0,0.0,250.0,250.0,82.0,0.0,0.0,0.0,250.0,332.0
BASF CORP - HANNIBAL SITE,MO,Chemicals,Dimethylamine,NO,NO,NO,NO,34.0,0.0,0.0,0.0,34.0,0.0,0.0,44684.0,0.0,44718.0
EL DORADO NITROGEN LLC,TX,Chemicals,Ammonia,NO,NO,NO,NO,4962.0,0.0,0.0,0.0,4962.0,0.0,0.0,0.0,0.0,4962.0
ASCENSUS SPECIALTIES LLC,WA,Chemicals,Methanol,YES,NO,NO,NO,1544.0,6154.0,5221.0,21583.0,7698.0,204591.0,0.0,204631.0,5221.0,432349.0
FREEPORT_OLIN BC,TX,Chemicals,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",YES,NO,NO,NO,38488.0,129.0,15528.0,22278.0,38617.0,41343878.1,6618.0,38693.77,15528.0,41442929.65
SIMPLOT PHOSPHATES LLC,WY,Chemicals,Chlorine,YES,NO,NO,NO,21957.02,0.0,0.0,0.0,21957.02,0.0,0.0,1070201.0,0.0,1092158.02
SYNGENTA CROP PROTECTION LLC-OMAHA PLANT,NE,Chemicals,N-Methyl-2-pyrrolidone,NO,NO,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
